Name of TPS,Installed Capacity (MW),CIL,SSCL,Captive,E-Auction,Import,Others,Total,Total Consumption,Closing Stocks,Month,Year,SCCL
LALITPUR TPS,1980.0,660.6289999999999,0,0,0.0,0.0,0.0,660.6289999999999,597.249,407.11,10,2025,
MAHATMA GANDHI TPS,1320.0,402.75000000000006,0,0,0.0,0.0,0.0,402.75000000000006,284.345,389.13,10,2025,
MAQSOODPUR TPS,90.0,24.326999999999998,0,0,0.0,0.0,0.0,24.326999999999998,10.875,62.15,10,2025,
MEJA STPP,1320.0,458.8921,0,15.6443,0.0,0.0,0.0,474.5364,441.403,263.354,10,2025,
OBRA TPS,2320.0,710.736,0,0,0.0,0.0,0.0,710.736,719.222,242.94,10,2025,
PANIPAT TPS,710.0,235.04899999999998,0,0,0.0,0.0,0.0,235.04899999999998,108.09,551.62,10,2025,
PANKI TPS EXT,660.0,207.19409000000002,0,0,0.0,0.0,0.0,207.19409000000002,197.652,87.04,10,2025,
PARICHHA TPS,920.0,175.399,0,0,0.0,0.0,0.0,175.399,127.235,256.398,10,2025,
PRAYAGRAJ TPP,1980.0,565.404,0,0,0.0,0.0,0.0,565.404,623.1563,427.84,10,2025,
RAJIV GANDHI TPS,1200.0,254.97899999999998,0,0,0.0,0.0,0.0,254.97899999999998,99.752,677.206,10,2025,
RAJPURA TPP,1400.0,318.97540000000004,0,0,0.0,0.0,0.0,318.97540000000004,354.439,247.4,10,2025,
RIHAND STPS,3000.0,1056.18,0,0,0.0,0.0,0.0,1056.18,1091.979,773.28,10,2025,
ROPAR TPS,840.0,32.942,0,84.386,0.0,0.0,0.0,117.328,167.146,214.29,10,2025,
ROSA TPP Ph-I,1200.0,352.681,0,0,0.0,0.0,0.0,352.681,317.294,211.14,10,2025,
SHREE CEMENT LTD TPS,300.0,2.21,0,0,0.0,39.43,0.0,41.64,41.64,0.0,10,2025,
SINGRAULI STPS,2000.0,696.54,0,0,0.0,0.0,0.0,696.54,746.044,449.34,10,2025,
SURATGARH STPS,1320.0,0,0,324.51158999999996,0.0,0.0,0.0,324.51158999999996,403.287,438.89,10,2025,
SURATGARH TPS,1500.0,63.99,0,54.64,0.0,0.0,0.0,118.63,201.127,358.86,10,2025,
TALWANDI SABO TPP,1980.0,468.31354999999996,0,0,0.0,0.0,0.0,468.31354999999996,478.703,382.81,10,2025,
TANDA TPS,1760.0,23.8,0,72.11,0.0,0.0,0.0,95.91,205.902,514.5,10,2025,
UNCHAHAR TPS,1550.0,274.92,0,115.17,0.0,0.0,71.37,461.46000000000004,468.505,334.58,10,2025,
UTRAULA TPS,90.0,24.532000000000004,0,0,0.0,0.0,0.0,24.532000000000004,10.718,62.6,10,2025,
YAMUNA NAGAR TPS,600.0,174.53900000000002,0,0,0.0,0.0,0.0,174.53900000000002,214.087,271.49,10,2025,
ADANI POWER LIMITED MUNDRA TPP - III,1980.0,0,0,0,0.0,593.664,0.0,593.664,564.171,104.499,10,2025,
ADANI POWER LIMITED MUNDRA TPP - I & II,2640.0,0,0,0,0.0,273.489,0.0,273.489,237.429,133.259,10,2025,
ADANI POWER LIMITED RAIGARH TPP,600.0,227.212,0,0,0.0,0.0,20.162,247.374,252.614,31.18,10,2025,
ADANI POWER LIMITED RAIPUR TPP,1370.0,476.005,0,0,3.808,0.0,105.336,585.149,399.814,255.15,10,2025,
ADANI POWER LIMITED TIRODA TPP,3300.0,1141.877,0,0,0.0,58.377,0.0,1200.254,1141.665,70.75,10,2025,
AKALTARA TPS,1800.0,507.9509,0,0,26.6779,0.0,0.0,534.6288,539.14,591.24,10,2025,
AMARKANTAK EXT TPS,210.0,97.875,0,0,0.0,0.0,0.0,97.875,96.381,47.831,10,2025,
AMRAVATI TPS,1350.0,440.31,0,0,0.0,0.0,0.0,440.31,568.575,169.22,10,2025,
ANUPPUR TPP,1250.0,344.31,0,0,101.68,0.0,104.11,550.1,419.06,150.82,10,2025,
BALCO TPS,600.0,102.9,0,0,35.9,0.0,0.0,138.8,136.0,16.94,10,2025,
BANDAKHAR TPP,300.0,121.12,0,0,45.191,0.0,0.0,166.311,142.506,172.22,10,2025,
BARADARHA TPS,1200.0,642.61,0,0,0.0,0.0,0.0,642.61,534.184,182.97,10,2025,
BELA TPS,270.0,65.786,0,0,53.985,0.0,0.0,119.771,108.717,33.9,10,2025,
BHILAI TPS,500.0,262.219,8.096,0,0.0,0.0,0.0,270.315,259.267,207.556,10,2025,
BHUSAWAL TPS,1870.0,607.5530000000001,113.506,0,0.0,0.0,0.0,721.0590000000001,406.488,664.7800000000001,10,2025,
BINA TPS,500.0,167.30325614,0,0,46.0965483,0.0,0.16342208,213.56322652,196.675,193.04,10,2025,
BINJKOTE TPP,600.0,0,0,81.48,251.388,0.0,8.594,341.462,248.267,145.82,10,2025,
BUTIBORI TPP,600.0,181.00799999999998,0,0,0.0,0.0,52.698,233.706,237.783,51.5,10,2025,
CHAKABURA TPP,30.0,6.667,0,0,0.0,0.0,47.8121,54.4791,49.87,13.32,10,2025,
CHANDRAPUR(MAHARASHTRA) STPS,2920.0,760.319,284.565,0,0.0,0.0,0.0,1044.884,888.337,412.71000000000004,10,2025,
DAHANU TPS,500.0,182.967,0,0,0.0,0.0,0.0,182.967,158.536,45.85,10,2025,
DHARIWAL TPP,600.0,130.101,0,0,127.411,0.0,0.0,257.512,217.162,149.6,10,2025,
DSPM TPS,500.0,0,339.17,0,0.0,0.0,0.0,339.17,229.901,178.262,10,2025,
GADARWARA TPP,1600.0,454.38,0,52.65,0.0,0.0,28.03,535.06,556.01,160.75,10,2025,
GMR WARORA TPS,600.0,190.57299999999998,0,0,44.77,0.0,0.0,235.343,270.257,79.67,10,2025,
JSW RATNAGIRI TPP,300.0,0,0,0,0.0,55.0,0.0,55.0,65.12,39.84,10,2025,
KASAIPALLI TPP,270.0,51.3046,0,0,0.0,0.0,66.157,117.4616,81.44,69.06,10,2025,
KHAPARKHEDA TPS,1340.0,497.884,0,0,0.0,0.0,0.202,498.086,586.182,246.04,10,2025,
KHARGONE STPP,1320.0,234.69,0,41.83,0.0,0.0,161.0,437.52,363.5,466.38,10,2025,
KORADI TPS,2190.0,698.56,5.53,0,0.0,0.0,0.0,704.0899999999999,927.346,164.727,10,2025,
KORBA STPS,2600.0,1040.8,0,0,0.0,0.0,0.0,1040.8,1260.318,102.37,10,2025,
KORBA-WEST TPS,1340.0,581.831,0,0,0.0,0.0,0.0,581.831,503.15,191.23,10,2025,
LARA TPP,1600.0,11.31,0,613.1999999999999,0.0,0.0,0.0,624.5099999999999,624.839,497.33,10,2025,
MAHAN TPP,1200.0,131.144,0,0,0.0,0.0,250.275,381.419,379.007,22.43,10,2025,
MARWA TPS,1000.0,7.096,0,298.093,0.0,0.0,0.0,305.189,425.669,248.28,10,2025,
MAUDA TPS,2320.0,874.8100000000001,0.07,80.88,0.0,0.0,4.08,959.8400000000001,973.493,367.26,10,2025,
NASIK TPS,630.0,65.6267,118.269,0,0.0,0.0,0.0,183.8957,188.65,220.82,10,2025,
NAWAPARA TPP,600.0,246.642,0,0,11.473,0.0,0.0,258.115,217.937,256.54,10,2025,
NIGRI TPP,1320.0,0,0,335.6671,105.4323,0.0,0.0,441.0994,430.001,252.7619,10,2025,
NIWARI TPP,90.0,37.269999999999996,0,0,0.0,0.0,0.0,37.269999999999996,48.25,48.47,10,2025,
OP JINDAL TPS,1000.0,50.233000000000004,0,491.328,0.0,0.0,97.466,639.0269999999999,488.764,817.221,10,2025,
PARAS TPS,500.0,154.814,36.7,0,0.0,0.0,0.0,191.514,169.94,175.51,10,2025,
PARLI TPS,750.0,14.83,100.542,0,0.0,0.0,0.0,115.372,28.824,205.6,10,2025,
PATHADI TPP,600.0,260.029,0,0,0.0,0.0,0.0,260.029,253.653,176.71,10,2025,
RATIJA TPS,100.0,8.089,0,0,0.0,0.0,29.9,37.989,47.33,14.64,10,2025,
SABARMATI (D-F STATIONS),362.0,112.198,0,0,0.0,0.0,0.0,112.198,102.911,71.25,10,2025,
SALAYA TPP,1200.0,0,0,0,0.0,0.0,0.0,0.0,175.985,203.89,10,2025,
SANJAY GANDHI TPS,1340.0,473.583,0,0,0.0,0.0,0.0,473.583,517.334,295.5,10,2025,
SASAN UMTPP,3960.0,0,0,1375.434,0.0,0.0,0.0,1375.434,1451.234,265.88,10,2025,
SATPURA TPS,500.0,169.04578999999998,0,0,0.0,0.0,0.0,169.04578999999998,130.22,228.07,10,2025,
SEIONI TPP,600.0,113.10799999999999,0,0,115.843,0.0,0.0,228.951,245.518,44.39,10,2025,
SHIRPUR TPP,300.0,0,0,0,0.0,0.0,104.996,104.996,67.519,98.78,10,2025,
SHREE SINGAJI TPP,2520.0,525.929,0,0,0.0,0.0,0.0,525.929,304.192,711.4,10,2025,
